tavg,prcp,snow,year,month,day,hour,wind,wind_flag
13.7,1,0,2021,3,27,0,16.200000000000003,0
12.9,1,0,2021,3,28,0,16.3,0
13.4,1,0,2021,3,29,0,21.2,0
13.1,1,0,2021,3,30,0,17.8,0
12.7,1,0,2021,3,31,0,16.1,0
13.6,1,0,2021,4,1,0,19.25,0
15.4,1,0,2021,4,2,0,26.349999999999998,0
16.0,1,0,2021,4,3,0,21.6,0
14.4,1,0,2021,4,4,0,17.200000000000003,0
14.1,1,0,2021,4,5,0,31.85,1
13.6,1,0,2021,4,6,0,25.3,0
11.1,1,0,2021,4,7,0,22.4,0
11.6,1,0,2021,4,8,0,28.799999999999997,0
11.8,1,0,2021,4,9,0,17.9,0
12.6,1,0,2021,4,10,0,17.25,0
13.0,1,0,2021,4,11,0,21.15,0
12.0,1,0,2021,4,12,0,26.7,0
12.2,1,0,2021,4,13,0,20.3,0
12.7,1,0,2021,4,14,0,20.95,0
12.3,1,0,2021,4,15,0,27.9,0
12.2,1,0,2021,4,16,0,26.25,0
11.0,1,0,2021,4,17,0,22.25,0
11.7,1,0,2021,4,18,0,28.2,0
12.9,1,0,2021,4,19,0,24.6,0
14.2,1,0,2021,4,20,0,22.4,0
13.5,1,0,2021,4,21,0,28.85,0
13.2,1,0,2021,4,22,0,27.1,0
13.9,1,0,2021,4,23,0,18.65,0
14.1,1,0,2021,4,24,0,18.4,0
15.9,1,0,2021,4,25,0,30.0,0
15.6,1,0,2021,4,26,0,34.0,1
14.7,1,0,2021,4,27,0,16.7,0
15.6,1,0,2021,4,28,0,15.75,0
16.1,1,0,2021,4,29,0,23.9,0
16.0,1,0,2021,4,30,0,21.45,0
14.8,1,0,2021,5,1,0,24.25,0
13.3,1,0,2021,5,2,0,25.950000000000003,0
13.6,1,0,2021,5,3,0,20.049999999999997,0
14.4,1,0,2021,5,4,0,26.9,0
16.0,1,0,2021,5,5,0,21.65,0
17.0,1,0,2021,5,6,0,34.55,1
17.1,1,0,2021,5,7,0,19.85,0
17.9,1,0,2021,5,8,0,21.8,0
17.7,1,0,2021,5,9,0,30.35,1
17.3,1,0,2021,5,10,0,21.6,0
16.8,1,0,2021,5,11,0,28.7,0
15.9,1,0,2021,5,12,0,30.349999999999998,1
16.8,1,0,2021,5,13,0,31.349999999999998,1
16.8,1,0,2021,5,14,0,25.099999999999998,0
17.2,1,0,2021,5,15,0,28.65,0
19.3,1,0,2021,5,16,0,28.7,0
16.7,1,0,2021,5,17,0,24.85,0
17.8,1,0,2021,5,18,0,29.0,0
16.6,1,0,2021,5,19,0,24.7,0
17.4,1,0,2021,5,20,0,21.25,0
17.9,1,0,2021,5,21,0,23.799999999999997,0
16.7,1,0,2021,5,22,0,20.6,0
15.6,1,0,2021,5,23,0,18.25,0
17.7,1,0,2021,5,24,0,30.35,1
16.8,1,0,2021,5,25,0,20.35,0
16.9,1,0,2021,5,26,0,20.2,0
18.1,1,0,2021,5,27,0,19.1,0
19.1,1,0,2021,5,28,0,18.5,0
20.6,1,0,2021,5,29,0,23.5,0
21.2,1,0,2021,5,30,0,18.5,0
20.7,1,0,2021,5,31,0,17.15,0
20.0,1,0,2021,6,1,0,20.95,0
20.4,1,0,2021,6,2,0,21.8,0
21.0,1,0,2021,6,3,0,25.849999999999998,0
21.2,1,0,2021,6,4,0,27.0,0
20.4,1,0,2021,6,5,0,20.0,0
21.6,1,0,2021,6,6,0,27.25,0
20.5,1,0,2021,6,7,0,20.700000000000003,0
20.9,1,0,2021,6,8,0,22.65,0
22.4,1,0,2021,6,9,0,17.85,0
23.8,1,0,2021,6,10,0,24.4,0
24.7,1,0,2021,6,11,0,18.2,0
25.1,1,0,2021,6,12,0,20.6,0
25.8,1,0,2021,6,13,0,22.25,0
25.7,1,0,2021,6,14,0,22.6,0
26.2,1,0,2021,6,15,0,19.450000000000003,0
25.7,1,0,2021,6,16,0,23.3,0
24.4,1,0,2021,6,17,0,37.65,1
23.4,1,0,2021,6,18,0,21.2,0
24.0,1,0,2021,6,19,0,17.3,0
23.8,1,0,2021,6,20,0,24.65,0
24.3,1,0,2021,6,21,0,26.9,0
